,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,20526017712.0,21357323112.0,21699031448.0,21491994944.0
Share Issued,20526017712.0,21357323112.0,21699031448.0,21491994944.0
Total Debt,161354000000.0,141344000000.0,149153000000.0,125430000000.0
Tangible Book Value,674653000000.0,619667000000.0,573866000000.0,417672000000.0
Invested Capital,1151011000000.0,1089823000000.0,1086623000000.0,880831000000.0
Working Capital,312615000000.0,254751000000.0,266002000000.0,221051000000.0
Net Tangible Assets,674653000000.0,619667000000.0,573866000000.0,417672000000.0
Capital Lease Obligations,34215000000.0,35253000000.0,32286000000.0,21857000000.0
Common Stock Equity,989657000000.0,948479000000.0,937470000000.0,755401000000.0
Total Capitalization,1138745000000.0,1080982000000.0,1073186000000.0,875677000000.0
Total Equity Gross Minority Interest,1122921000000.0,1082193000000.0,1083634000000.0,879651000000.0
Minority Interest,133264000000.0,133714000000.0,146164000000.0,124250000000.0
Stockholders Equity,989657000000.0,948479000000.0,937470000000.0,755401000000.0
Other Equity Interest,-49000000.0,-46000000.0,-47000000.0,-51000000.0
Gains Losses Not Affecting Retained Earnings,2560000000.0,-23318000000.0,-11716000000.0,5457000000.0
Other Equity Adjustments,2560000000.0,-23318000000.0,-11716000000.0,5457000000.0
Foreign Currency Translation Adjustments,-10476000000.0,-33184000000.0,-18930000000.0,-387000000.0
Unrealized Gain Loss,59000000.0,27000000.0,-133000000.0,-256000000.0
Treasury Stock,28763000000.0,2221000000.0,0.0,0.0
Retained Earnings,599028000000.0,563557000000.0,554924000000.0,406287000000.0
Additional Paid In Capital,416880000000.0,410506000000.0,394308000000.0,343707000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Total Liabilities Net Minority Interest,630123000000.0,613360000000.0,606584000000.0,433334000000.0
Total Non Current Liabilities Net Minority Interest,244772000000.0,229576000000.0,229226000000.0,191462000000.0
Other Non Current Liabilities,30379000000.0,31877000000.0,30754000000.0,25263000000.0
Preferred Securities Outside Stock Equity,,,8673000000.0,9103000000.0
Non Current Deferred Liabilities,65305000000.0,65196000000.0,62756000000.0,45923000000.0
Non Current Deferred Revenue,3560000000.0,3490000000.0,3158000000.0,2025000000.0
Non Current Deferred Taxes Liabilities,61745000000.0,61706000000.0,59598000000.0,43898000000.0
Long Term Debt And Capital Lease Obligation,149088000000.0,132503000000.0,135716000000.0,120276000000.0
Long Term Capital Lease Obligation,28548000000.0,30259000000.0,28217000000.0,19091000000.0
Long Term Debt,149088000000.0,132503000000.0,135716000000.0,120276000000.0
Current Liabilities,385351000000.0,383784000000.0,377358000000.0,241872000000.0
Other Current Liabilities,17512000000.0,13096000000.0,29316000000.0,6033000000.0
Current Deferred Liabilities,84592000000.0,81730000000.0,77506000000.0,51978000000.0
Current Deferred Revenue,84592000000.0,81730000000.0,77506000000.0,51978000000.0
Current Debt And Capital Lease Obligation,12266000000.0,8841000000.0,13437000000.0,5154000000.0
Current Capital Lease Obligation,5667000000.0,4994000000.0,4069000000.0,2766000000.0
Current Debt,12266000000.0,8841000000.0,13437000000.0,5154000000.0
Other Current Borrowings,12266000000.0,8841000000.0,13437000000.0,5154000000.0
Payables And Accrued Expenses,288493000000.0,293213000000.0,286415000000.0,184740000000.0
Current Accrued Expenses,29000000000.0,271460000000.0,260929000000.0,161536000000.0
Interest Payable,,,,869000000.0
Payables,288493000000.0,293213000000.0,286415000000.0,184740000000.0
Other Payable,47157000000.0,44033000000.0,211000000.0,3014000000.0
Dueto Related Parties Current,10383000000.0,7783000000.0,5926000000.0,4875000000.0
Total Tax Payable,12543000000.0,21753000000.0,25275000000.0,20190000000.0
Income Tax Payable,12543000000.0,21753000000.0,25275000000.0,20190000000.0
Accounts Payable,275950000000.0,271460000000.0,260929000000.0,161536000000.0
Total Assets,1753044000000.0,1695553000000.0,1690218000000.0,1312985000000.0
Total Non Current Assets,1055078000000.0,1057018000000.0,1046858000000.0,850062000000.0
Other Non Current Assets,5123000000.0,4602000000.0,3298000000.0,3440000000.0
Non Current Prepaid Assets,110926000000.0,113147000000.0,98432000000.0,57985000000.0
Non Current Deferred Assets,15494000000.0,14475000000.0,11041000000.0,7865000000.0
Non Current Deferred Taxes Assets,15494000000.0,14475000000.0,11041000000.0,7590000000.0
Investments And Advances,453117000000.0,443253000000.0,437410000000.0,350961000000.0
Investmentin Financial Assets,245737000000.0,223611000000.0,237221000000.0,161329000000.0
Available For Sale Securities,245737000000.0,223611000000.0,237221000000.0,161329000000.0
Long Term Equity Investment,207380000000.0,219642000000.0,200189000000.0,189632000000.0
Goodwill And Other Intangible Assets,315004000000.0,328812000000.0,363604000000.0,337729000000.0
Other Intangible Assets,46913000000.0,59231000000.0,70833000000.0,60947000000.0
Goodwill,268091000000.0,269581000000.0,292771000000.0,276782000000.0
Net PPE,176031000000.0,171806000000.0,147412000000.0,103387000000.0
Accumulated Depreciation,-114568000000.0,-93756000000.0,-73582000000.0,-51994000000.0
Gross PPE,372003000000.0,347207000000.0,293034000000.0,190041000000.0
Construction In Progress,49105000000.0,47267000000.0,19958000000.0,10828000000.0
Other Properties,77428000000.0,78053000000.0,72040000000.0,34660000000.0
Machinery Furniture Equipment,122194000000.0,115093000000.0,101949000000.0,74112000000.0
Buildings And Improvements,123276000000.0,106794000000.0,99087000000.0,70441000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,697966000000.0,638535000000.0,643360000000.0,462923000000.0
Other Current Assets,137072000000.0,145995000000.0,124708000000.0,84229000000.0
Current Deferred Assets,4771000000.0,3915000000.0,3303000000.0,2000000000.0
Restricted Cash,36424000000.0,37455000000.0,35207000000.0,15479000000.0
Prepaid Assets,16794000000.0,145995000000.0,124708000000.0,84229000000.0
Inventory,28547000000.0,30087000000.0,27858000000.0,14859000000.0
Receivables,78643000000.0,145995000000.0,124708000000.0,84229000000.0
Other Receivables,14499000000.0,145995000000.0,124708000000.0,84229000000.0
Duefrom Related Parties Current,9042000000.0,12188000000.0,10374000000.0,11029000000.0
Taxes Receivable,17497000000.0,23779000000.0,17363000000.0,11826000000.0
Accrued Interest Receivable,5471000000.0,2449000000.0,2110000000.0,984000000.0
Accounts Receivable,32134000000.0,32813000000.0,27076000000.0,19786000000.0
Cash Cash Equivalents And Short Term Investments,524470000000.0,455085000000.0,483445000000.0,363215000000.0
Other Short Term Investments,331384000000.0,265187000000.0,162183000000.0,32712000000.0
Cash And Cash Equivalents,193086000000.0,189898000000.0,321262000000.0,330503000000.0
